source_text,reference_translation
Hello world,வணக்கம் உலகம்
How are you today,இன்று நீங்கள் எப்படி இருக்கிறீர்கள்
The weather is beautiful today,இன்று வானிலை அழகாக உள்ளது
I love learning new languages,புதிய மொழிகளைக் கற்பதில் எனக்கு விருப்பம்
Thank you for your help,உங்கள் உதவிக்கு நன்றி
Where is the nearest bus stop,அருகிலுள்ள பேருந்து நிறுத்தம் எங்கே
What time does the train arrive,ரயில் எந்த நேரத்தில் வருகிறது
Can you please speak more slowly,தயவுசெய்து மெதுவாகப் பேச முடியுமா
I need to go to the hospital,எனக்கு மருத்துவமனைக்குச் செல்ல வேண்டும்
This is a very important meeting,இது மிகவும் முக்கியமான கூட்டமாகும்
The conference will start at nine AM,மாநாடு காலை ஒன்பது மணிக்குத் தொடங்கும்
Please send me the document by email,தயவுசெய்து ஆவணத்தை மின்னஞ்சலில் அனுப்பவும்
We need to complete this project before Friday,இந்தத் திட்டத்தை வெள்ளிக்கிழமைக்கு முன் முடிக்க வேண்டும்
The software update includes security improvements,மென்பொருள் புதுப்பிப்பு பாதுகாப்பு மேம்பாடுகளை உள்ளடக்கியது
Machine learning is transforming healthcare,எந்திரக் கற்றல் சுகாதாரத்தை மாற்றியமைக்கிறது
Artificial intelligence systems require large datasets,செயற்கை நுண்ணறிவு அமைப்புகளுக்கு பெரிய தரவுத்தொகுப்புகள் தேவை
The university research team published their findings,பல்கலைக்கழக ஆராய்ச்சி குழு தங்கள் கண்டுபிடிப்புகளை வெளியிட்டது
Climate change affects agricultural productivity globally,காலநிலை மாற்றம் உலகளவில் வேளாண்மை உற்பத்தியைப் பாதிக்கிறது
The international cooperation agreement was signed yesterday,சர்வதேச ஒத்துழைப்பு ஒப்பந்தம் நேற்று கையொப்பமிடப்பட்டது
Sustainable development requires balanced economic growth,நிலையான வளர்ச்சி சமநிலையான பொருளாதார வளர்ச்சியைக் கோருகிறது
